article_id,title,category,author,publication_date,last_updated,reading_time_minutes,tags,summary
ART001,"Guide to Java Concurrency",Java,"John Smith",2024-10-15,2025-01-10,12,"concurrency, threads, java","A comprehensive guide to Java concurrency concepts including threads, ThreadPoolExecutor, CompletableFuture, and synchronization mechanisms. Covers deadlock prevention, thread safety, and best practices for writing concurrent code in Java applications."
ART002,"Building RESTful APIs with Spring Boot",Spring,"Sarah Johnson",2024-09-20,2025-02-05,15,"spring boot, rest, api","Learn how to create robust RESTful APIs using Spring Boot. This tutorial covers controller design, request mapping, response handling, validation, exception handling, and content negotiation. Includes practical examples following REST best practices."
ART003,"Introduction to Spring Security",Security,"Michael Chen",2024-11-12,2025-03-01,18,"spring security, authentication, authorization","An in-depth introduction to Spring Security framework. Covers authentication, authorization, security configurations, form login, OAuth2 integration, method-level security, and protection against common web vulnerabilities."
ART004,"Java 21 Features Overview",Java,"Emily Williams",2024-09-15,2025-01-20,10,"java 21, virtual threads, pattern matching","Explore the key features in Java 21 including virtual threads for improved scalability, pattern matching for switch expressions, record patterns, and the new SequencedCollection interface. Practical examples show how to leverage these features in your applications."
ART005,"Spring Data JPA Tutorial",Spring,"David Lee",2024-10-01,2025-02-10,14,"spring data, jpa, hibernate","Master database operations with Spring Data JPA. This article explains repositories, query methods, custom queries with JPQL and native SQL, specifications, auditing features, and performance optimization techniques. All examples use Spring Boot 3.2."
ART006,"Reactive Programming with Spring WebFlux",Spring,"Patricia Rodriguez",2024-11-05,2025-01-15,16,"reactive, webflux, spring","Understand reactive programming paradigm and how to implement it with Spring WebFlux. Learn about Mono, Flux, reactive operators, error handling, and building non-blocking applications that can handle high concurrency with fewer resources."
ART007,"Microservices with Spring Cloud",Architecture,"Robert Wilson",2024-08-25,2025-02-20,20,"microservices, spring cloud, architecture","Comprehensive guide to building microservices using Spring Cloud. Covers service discovery with Eureka, configuration management with Config Server, circuit breakers with Resilience4j, API gateway with Spring Cloud Gateway, and distributed tracing."
ART008,"Hibernate Performance Tuning",Performance,"Jennifer Taylor",2024-09-10,2025-01-25,15,"hibernate, performance, optimization","Advanced techniques for optimizing Hibernate ORM performance. Learn about fetch strategies, caching mechanisms, batch processing, connection pooling, and query optimization. Includes real-world examples and benchmarks for common scenarios."
ART009,"Testing Spring Boot Applications",Testing,"Andrew Kim",2024-10-20,2025-02-15,12,"testing, junit, mockito, spring boot","Complete guide to testing Spring Boot applications at all levels. Covers unit testing with JUnit 5 and Mockito, integration testing with @SpringBootTest, testing slices with @WebMvcTest and @DataJpaTest, and using TestContainers for integration tests with real databases."
ART010,"Getting Started with Kotlin for Java Developers",Kotlin,"Maria Garcia",2024-11-15,2025-03-10,10,"kotlin, java","A beginner-friendly introduction to Kotlin for Java developers. Learn the key differences between Kotlin and Java, null safety, extension functions, data classes, coroutines, and how to use Kotlin with Spring Boot for more concise and expressive code."
ART011,"Docker for Java Applications",DevOps,"Daniel Brown",2024-08-15,2025-01-05,8,"docker, devops, java","Learn how to containerize Java applications with Docker. This guide covers creating efficient Dockerfiles, multi-stage builds, container orchestration, and best practices specific to Java applications. Includes examples for Spring Boot applications."
ART012,"Spring Cache Abstraction",Spring,"Lisa Thompson",2024-09-05,2025-02-25,6,"cache, spring, performance","A detailed look at Spring's cache abstraction. Learn how to use @Cacheable, @CachePut, and @CacheEvict annotations, configure different cache providers (EhCache, Caffeine, Redis), and implement custom cache resolution for optimal performance."
ART013,"Java Stream API Deep Dive",Java,"James Wilson",2024-10-10,2025-01-30,14,"streams, functional, java","Master the Java Stream API for functional-style operations. Learn about intermediate operations (map, filter, sorted), terminal operations (collect, reduce), parallel streams, custom collectors, and performance considerations with practical examples."
ART014,"Building GraphQL APIs with Spring Boot",Spring,"Sophia Martinez",2024-11-01,2025-03-05,13,"graphql, spring boot, api","Complete tutorial on implementing GraphQL APIs using Spring Boot and GraphQL Java. Covers schema definition, resolvers, queries, mutations, subscriptions, error handling, and integration with Spring Data repositories."
ART015,"Spring Transaction Management",Spring,"Thomas Clark",2024-09-25,2025-02-01,9,"transactions, spring","Understand transaction management in Spring applications. Learn about @Transactional annotation, propagation levels, isolation levels, rollback rules, and advanced scenarios like distributed transactions. Includes best practices and common pitfalls to avoid."
ART016,"Java Collections Framework",Java,"Rachel Lee",2024-08-20,2025-01-12,11,"collections, java, data structures","In-depth guide to the Java Collections Framework. Analyzes different collection types (List, Set, Map, Queue), their implementations, performance characteristics, and usage patterns. Includes guidance on choosing the right collection for different scenarios."
ART017,"Dependency Injection Patterns in Spring",Spring,"Kevin Martin",2024-10-05,2025-02-12,7,"dependency injection, spring, design patterns","Explore various dependency injection patterns in Spring. Covers constructor injection, setter injection, field injection, and method injection. Discusses best practices, pros and cons of each approach, and when to use specific patterns."
ART018,"Building RESTful APIs with Spring HATEOAS",Spring,"Michelle Wong",2024-11-10,2025-03-15,9,"hateoas, rest, api, spring","Learn how to create truly RESTful APIs following HATEOAS principles using Spring HATEOAS. This article explains resource representation, link creation, relation types, and building self-documenting APIs that clients can navigate without prior knowledge."
ART019,"Java Memory Management and Garbage Collection",Java,"Christopher Davis",2024-09-15,2025-01-18,16,"memory management, garbage collection, jvm","Detailed exploration of Java memory management and garbage collection algorithms. Understand heap structure, garbage collectors (Serial, Parallel, G1, ZGC), memory leaks, and tuning parameters. Includes practical advice for performance optimization."
